Unnamed: 0,date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH
2003,2019-07-26,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2004,2019-07-27,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2005,2019-07-28,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2006,2019-07-29,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2007,2019-07-30,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2008,2019-07-31,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2009,2019-08-01,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2010,2019-08-02,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
2011,2019-08-03,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2012,2019-08-04,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2013,2019-08-05,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2014,2019-08-06,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2015,2019-08-07,True,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True
2016,2019-08-08,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True
2017,2019-08-09,True,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True
2018,2019-08-10,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True
2019,2019-08-11,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True
2020,2019-08-12,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True
2021,2019-08-13,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True
2022,2019-08-14,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True
2023,2019-08-15,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2024,2019-08-16,True,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2025,2019-08-17,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2026,2019-08-18,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2027,2019-08-19,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2028,2019-08-20,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2029,2019-08-21,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2030,2019-08-22,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2031,2019-08-23,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2032,2019-08-24,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2033,2019-08-25,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2034,2019-08-26,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2035,2019-08-27,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2036,2019-08-28,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2037,2019-08-29,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2038,2019-08-30,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2039,2019-08-31,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2040,2019-09-01,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2041,2019-09-02,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2042,2019-09-03,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2043,2019-09-04,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2044,2019-09-05,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2045,2019-09-06,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2046,2019-09-07,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2047,2019-09-08,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2048,2019-09-09,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2049,2019-09-10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2050,2019-09-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2051,2019-09-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2052,2019-09-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2053,2019-09-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2054,2019-09-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2055,2019-09-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2056,2019-09-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2057,2019-09-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2058,2019-09-19,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2059,2019-09-20,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2060,2019-09-21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2061,2019-09-22,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2062,2019-09-23,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2063,2019-09-24,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2064,2019-09-25,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2065,2019-09-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2066,2019-09-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2067,2019-09-28,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2068,2019-09-29,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2069,2019-09-30,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2070,2019-10-01,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2071,2019-10-02,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2072,2019-10-03,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
2073,2019-10-04,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2074,2019-10-05,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2075,2019-10-06,False,False,True,True,True,True,True,True,True,False,True,False,False,True,True,False
2076,2019-10-07,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2077,2019-10-08,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2078,2019-10-09,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2079,2019-10-10,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2080,2019-10-11,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,True
2081,2019-10-12,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True
2082,2019-10-13,False,False,True,True,True,True,False,False,True,False,False,True,False,False,True,True
2083,2019-10-14,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True
2084,2019-10-15,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True
2085,2019-10-16,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True
2086,2019-10-17,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True
2087,2019-10-18,False,False,True,True,True,True,False,False,True,True,False,True,True,False,True,True
2088,2019-10-19,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2089,2019-10-20,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2090,2019-10-21,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2091,2019-10-22,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2092,2019-10-23,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2093,2019-10-24,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2094,2019-10-25,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False
2095,2019-10-26,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2096,2019-10-27,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2097,2019-10-28,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2098,2019-10-29,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2099,2019-10-30,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2100,2019-10-31,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2101,2019-11-01,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2102,2019-11-02,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2103,2019-11-03,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2104,2019-11-04,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2105,2019-11-05,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2106,2019-11-06,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2107,2019-11-07,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2108,2019-11-08,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2109,2019-11-09,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2110,2019-11-10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2111,2019-11-11,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2112,2019-11-12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2113,2019-11-13,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2114,2019-11-14,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2115,2019-11-15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2116,2019-11-16,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2117,2019-11-17,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2118,2019-11-18,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
