uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
005056ba-7cb6-1ed2-bceb-75510b488d25,star Tankstelle,STAR,Dinslakener Landstraße,6,46483,Wesel,51.654846,6.624702,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
66484021-e504-4fcf-8720-414174f78127,Aral Tankstelle,ARAL,Römerstraße,102-110,53111,Bonn,50.7465744,7.099609,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":96,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]}]}",2023-05-01
3d3f2abd-976d-4045-9849-447e6a133324,Aral Tankstelle,ARAL,Dekkers Waide,1,46419,Isselburg,51.81834,6.442688,2014-03-18 16:45:31+01,{},2023-05-01
b86ee3cd-f5be-4e74-92fe-c5206a4d3f3e,Aral Tankstelle,ARAL,Bahnhofstraße,57,52388,Nörvenich,50.8097343,6.636635,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
3d4386e8-05e5-406e-af32-820cce4ecf73,OIL! Tankstelle Duisburg,OIL!,Mercatorstraße 131-133,,47051,Duisburg,51.4267,6.76989,2014-03-18 16:45:31+01,{},2023-05-01
005056ba-7cb6-1ed2-bceb-767394558d25,star Tankstelle,STAR,Moerser Straße,136,47803,Krefeld,51.3425,6.57072,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-76ede66f8d25,star Tankstelle,STAR,Uerdinger Straße,555,47800,Krefeld,51.344867,6.615799,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
6525743f-9791-4bfe-a0c4-138983dbae56,AVIA Tankstelle,AVIA,Sporker Straße,18,46399,Bocholt,51.86033,6.501222,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""07:30"",""endp"":""20:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""09:00"",""endp"":""20:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-772063e00d25,star Tankstelle,STAR,Moerser Straße,118,47475,Kamp-Lintfort,51.503521,6.536433,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
005056ba-7cb6-1ed2-bceb-7758df554d25,star Tankstelle,STAR,Düsseldorfer Straße,152,47053,Duisburg,51.424758,6.765335,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""08:00"",""endp"":""23:00""}]}]}",2023-05-01
