uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,file_date
c697c2d6-8767-4e84-bbbd-1e39fd47a83c,Shell Wesel Fluerener Weg 84,Shell,Fluerener Weg,84,46487,Wesel,51.681524,6.575421,2018-01-09 23:30:06+01,"{""openingTimes"":[{""applicable_days"":63,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",2023-05-01
ef783278-e1b6-4411-8d19-ee121a1cd790,Shell Aachen Krefelder Str. 155,Shell,Krefelder Str.,155,52070,Aachen,50.788164,6.094,2018-01-09 23:30:06+01,{},2023-05-01
9caa053a-7811-4784-b210-8606a422d2dd,PM Bruehl Pingsdorfer Str. 51,PM,Pingsdorfer Str.,51,50321,Bruehl,50.822217,6.897802,2018-01-10 23:30:06+01,"{""openingTimes"":[{""applicable_days"":48,""periods"":[{""startp"":""00:00"",""endp"":""00:00""}]},{""applicable_days"":207,""periods"":[{""startp"":""05:00"",""endp"":""00:00""}]}]}",2023-05-01
7c6b63cd-fbdf-4ec6-b89d-818f6f4b0068,PM Rheinbach Koblenzer Str. 29-31,PM,Koblenzer Str.,29-31,53359,Rheinbach,50.625315,6.957864,2018-01-10 23:30:06+01,{},2023-05-01
b431d350-cbc0-48ae-b515-7af9b4e6a78f,PM Wuppertal Bundesallee 76,PM,Bundesallee,76,42103,Wuppertal,51.254231,7.139567,2018-01-11 23:30:06+01,{},2023-05-01
eaba7fbc-709f-422d-979f-4d1e4816c6cc,PM Duesseldorf Koelner Landstr. 244,PM,Koelner Landstr.,244,40591,Duesseldorf,51.184968,6.820818,2018-01-11 23:30:06+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""22:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""22:00""}]}]}",2023-05-01
31047ee9-87d3-4b37-8a33-dca88611dbd5,PM Remscheid Ringstr. 56a,PM,Ringstr.,56a,42897,Remscheid,51.185556,7.260513,2018-01-11 23:30:06+01,{},2023-05-01
ac4b49bd-5b7d-43f7-b734-835a64c4ccf6,PM Aachen Trier Str. 21,PM,Trier Str.,21,52078,Aachen,50.76983,6.118955,2018-01-12 23:30:07+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""23:00""}]}]}",2023-05-01
6bc8880b-6008-4cd5-bebc-cfbffce151cc,PM Dueren Friedrich-Ebert-Platz 16,PM,Friedrich-Ebert-Platz,16,52351,Dueren,50.805288,6.494964,2018-01-12 23:30:07+01,{},2023-05-01
04372591-944d-4c7e-892f-2d71547b71b5,PM Kreuzau Duerener Str. 176,PM,Duerener Str.,176,52372,Kreuzau,50.754875,6.488765,2018-01-12 23:30:07+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:00"",""endp"":""23:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]}]}",2023-05-01
